Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Shagang Giant,Ore Carrier,157402,306902,1993,332.04,In Service,Zodiac Maritime,Zodiac Maritime,,Liberia,,IFO 380,Diesel 2-Stroke,,,,19858,IFO 380,,,,,,N,7RTA84M,RTA84,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Sulzer,14,22.03,60,Sulzer,China P.R.,United Kingdom,1179,Bulkers,76
Wugang Atlantic,Ore Carrier,156281,281226,1995,327.5,In Service,Zodiac Maritime,Zodiac Maritime,,Liberia,,IFO 380,Diesel 2-Stroke,,0,,25487,IFO 380,,,,,75,N,7S80MC Mk4,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,13.5,20.82,57.2,MAN Energy Solutions,China P.R.,United Kingdom,5089,Bulkers,95
Pacific Garnet,Ore Carrier,156280,277047,1995,329,In Service,Cido Shipping,Cido Shipping,SK Shipping,Hong Kong,,IFO 380,Diesel 2-Stroke,,,,25487,IFO 380,,,,,,N,7S80MC Mk4,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15,20.47,57.2,MAN Energy Solutions,Unknown,South Korea,1115,Bulkers,83.8
Pacific Opal,Ore Carrier,156280,278157,1995,329.06,In Service,Cido Shipping,Cido Shipping,SK Shipping,Hong Kong,,IFO 380,Diesel 2-Stroke,,,,25487,IFO 380,,,,,,N,7S80MC Mk4,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15,20.47,57.2,MAN Energy Solutions,China P.R.,South Korea,1116,Bulkers,83.8
Berge Kibo,Ore Carrier,155823,289889,1993,327.5,In Service,Berge Bulk,Berge Bulk,Berge Bulk,Isle of Man,,IFO 380,Diesel 2-Stroke,,,,25487,IFO 380,,,,,,N,7S80MC Mk4,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.9,21.29,57.2,MAN Energy Solutions,China P.R.,Bermuda,5069,Bulkers,95
Peene Ore,Ore Carrier,155051,322398,1997,332,In Service,F. Laeisz,F. Laeisz,,Germany,,IFO 380,Diesel 2-Stroke,,,,25487,IFO 380,,,,,70,N,7S80MC Mk4,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,23.02,58,MAN Energy Solutions,South Korea,Germany,1116,Bulkers,95.6
Sinomerchant,Ore Carrier,155051,322457,1997,332,In Service,Sinokor Merchant,Sinokor Merchant,Sinokor Merchant,South Korea,,IFO 380,Diesel 2-Stroke,,,3060,25487,IFO 380,,,,,70,N,7S80MC Mk4,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,17.4,23.02,58,MAN Energy Solutions,South Korea,South Korea,1117,Bulkers,95.6
Stellar Iris,Ore Carrier,154786,288272,1995,331,In Service,Polaris Shipping,Polaris Shipping,Polaris Shipping,Panama,,IFO 380,Diesel 2-Stroke,,,,27184,IFO 380,,,,,,N,7RTA84T,RTA84,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Sulzer,14.8,21.42,58,Sulzer,Unknown,South Korea,907,Bulkers,
Stellar Eagle,Ore Carrier,154759,278258,1993,327.5,In Service,Polaris Shipping,Polaris Shipping,Polaris Shipping,Panama,,IFO 380,Diesel 2-Stroke,,,,25487,IFO 380,,,,,,N,7S80MC Mk4,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.4,20.77,57.2,MAN Energy Solutions,Hong Kong,South Korea,5075,Bulkers,
Ore Sudbury,Ore Carrier,154552,285771,1992,327.5,In Service,Maran Dry Mngt,Angelicoussis Group,Maran Dry Mngt,Greece,,IFO 380,Diesel 2-Stroke,,,3000,25487,IFO 380,,,,,,N,7S80MC Mk4,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15,20.82,57.2,MAN Energy Solutions,China P.R.,Greece,5052,Bulkers,90
Wugang Haoyun,Ore Carrier,153604,297980,2011,327,In Service,Zodiac Maritime,Zodiac Maritime,,United Kingdom,Fitted,IFO 380,Diesel 2-Stroke,,,,25080,,,,,,125,N,6S80MC-C8.2,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,21.4,55,MAN Energy Solutions,South Korea,United Kingdom,1308,Bulkers,88
Wugang Caifu,Ore Carrier,153604,299382,2012,327,In Service,Zodiac Maritime,Zodiac Maritime,,Liberia,Fitted,IFO 380,Diesel 2-Stroke,,,,25080,,,,,,125,N,6S80MC-C8.2,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,21.4,55,MAN Energy Solutions,South Korea,United Kingdom,1353,Bulkers,88
Anangel Shagang,Ore Carrier,153427,277218,1992,327.5,In Service,Maran Dry Mngt,Angelicoussis Group,Maran Dry Mngt,Greece,Fitted,IFO 380,Diesel 2-Stroke,,,2000,25487,IFO 380,,,,,,N,7S80MC Mk4,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15,20.82,57.23,MAN Energy Solutions,China P.R.,Greece,5059,Bulkers,93
Ore Amazonas,Ore Carrier,152311,297978,2010,327,In Service,Nippon Yusen Kaisha,Nippon Yusen Kaisha,Vale,Panama,Fitted,IFO 380,Diesel 2-Stroke,,,2400,23279,IFO 380,,,,,,N,6S80MC-C7.2,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,21.4,55,MAN Energy Solutions,China P.R.,Japan,70,Bulkers,
Baogang Spirit,Ore Carrier,152311,297902,2010,327,In Service,K-Line,K-Line,K-Line,Panama,,IFO 380,Diesel 2-Stroke,,,2400,22360,IFO 380,,,,,,N,6S80MC-C7.2,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,21.4,55,MAN Energy Solutions,China P.R.,Japan,76,Bulkers,
He Heng,Ore Carrier,152305,297592,2008,327,In Service,COSCO Shipping Bulk,China COSCO Shipping,COSCO Shipping Bulk,Hong Kong,Pending,IFO 380,Diesel 2-Stroke,,,2400,23280,IFO 380,,,,,,N,6S80MC-C6.1,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,21.4,55,MAN Energy Solutions,China P.R.,China P.R.,56,Bulkers,
Bao Min,Ore Carrier,152305,297844,2010,327,In Service,Kitaura Kaiun KK,Kitaura Kaiun KK,Baosteel Group,Panama,,IFO 380,Diesel 2-Stroke,,,2400,23279,IFO 380,,,,,,N,6S80MC-C7.2,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,21.4,55,MAN Energy Solutions,China P.R.,Japan,69,Bulkers,
