Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Marlin Magnetic,Chemical & Oil Carrier,29991,47499,2019,183.07,In Service,Scorpio Tankers,Scorpio Group,Scorpio Tankers,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,3150,7180,IFO 380,,14.45,,,0,,N,6G50ME-C9.5,G50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,14,12.81,32.2,MAN Energy Solutions,Vietnam,Italy,S451,Product Tankers,
Marlin Master,Chemical & Oil Carrier,29991,47499,2019,183.07,In Service,Scorpio Tankers,Scorpio Group,Scorpio Tankers,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,3150,7180,IFO 380,,14.45,,,0,,N,6G50ME-C9.5,G50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,14.45,12.81,32.2,MAN Energy Solutions,Vietnam,Italy,S453,Product Tankers,
Marlin Mythic,Chemical & Oil Carrier,29991,47499,2019,183.07,In Service,Scorpio Tankers,Scorpio Group,Scorpio Tankers,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,3150,7180,IFO 380,,14.45,,,0,,N,6G50ME-C9.5,G50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,14.45,12.81,32.2,MAN Energy Solutions,Vietnam,Italy,S454,Product Tankers,
Marlin Modest,Chemical & Oil Carrier,29917,49999,2019,183.06,In Service,Scorpio Tankers,Scorpio Group,Scorpio Tankers,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,3150,7180,IFO 380,,14.45,,,0,,N,6G50ME-C9.5,G50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,14.45,12.81,32.2,MAN Energy Solutions,Vietnam,Italy,S456,Product Tankers,
Marlin Samara,Tanker,82305,149999,2019,275,In Service,BoCom Leasing,BoCom,Trafigura Maritime,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,3675,16330,IFO 380,,14.5,,,0,,N,6G70ME-C9.5,G70,Diesel 2-Stroke,"Suezmax 125-199,999 dwt",,MAN B. & W.,14.91,16.56,48,MAN Energy Solutions,South Korea,China P.R.,S968,Crude Tankers,
Marlin Sparta,Tanker,82305,149999,2019,275,In Service,BoCom Leasing,BoCom,Trafigura Maritime,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,4320,21840,IFO 380,,14.5,,,0,,N,6G70ME-C9.5,G70,Diesel 2-Stroke,"Suezmax 125-199,999 dwt",,MAN B. & W.,15,16.56,48,MAN Energy Solutions,South Korea,China P.R.,S969,Crude Tankers,
Monte Serantes,Tanker,80305,149999,2019,275,In Service,Ibaizabal Tankers,Co. Rem. Ibaizabal,Ibaizabal Tankers,Madeira,Fitted,IFO 380,Diesel 2-Stroke,,,4110,15100,IFO 380,,14.5,,,0,,N,6G70ME-C9.5,G70,Diesel 2-Stroke,"Suezmax 125-199,999 dwt",,MAN B. & W.,14.5,16.56,48,MAN Energy Solutions,China P.R.,Spain,315831,Crude Tankers,
Marlin Santorini,Tanker,82839,149998,2019,274.3,In Service,BoCom Leasing,BoCom,Trafigura Maritime,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,4110,15100,IFO 380,,14.5,,,0,,N,6G70ME-C9.5,G70,Diesel 2-Stroke,"Suezmax 125-199,999 dwt",,MAN B. & W.,14,17.15,48,MAN Energy Solutions,China P.R.,China P.R.,315827,Crude Tankers,
Marlin Sicily,Tanker,82839,149999,2019,274.3,In Service,BoCom Leasing,BoCom,Trafigura Maritime,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,4110,15100,IFO 380,,,,,0,,N,6G70ME-C9.5,G70,Diesel 2-Stroke,"Suezmax 125-199,999 dwt",,MAN B. & W.,14,17.15,48,MAN Energy Solutions,China P.R.,China P.R.,315828,Crude Tankers,
Marlin Somerset,Tanker,82839,149998,2019,274.3,In Service,BoCom Leasing,BoCom,Trafigura Maritime,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,4110,15100,IFO 380,,14.5,,,0,,N,6G70ME-C9.5,G70,Diesel 2-Stroke,"Suezmax 125-199,999 dwt",,MAN B. & W.,14,17.15,48,MAN Energy Solutions,China P.R.,China P.R.,315829,Crude Tankers,
STI Miracle,Chemical & Oil Carrier,29991,49999,2020,183.07,In Service,Scorpio Tankers,Scorpio Group,Scorpio Tankers,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,3150,7180,IFO 380,,,,,0,,N,6G50ME-C9.5,G50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,,12.81,32.2,MAN Energy Solutions,Vietnam,Italy,S458,Product Tankers,
Clearocean Melody,Chemical & Oil Carrier,29434,49995,2019,182.9,In Service,Oceangold Tankers,Oceangold Tankers,Clearlake Shpg,Liberia,Fitted,IFO 380,Diesel 2-Stroke,,,4110,7820,,,,,,0,,N,6G50ME-C9.5,G50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,14.5,13.3,32.2,MAN Energy Solutions,South Korea,Greece,S1680,Product Tankers,
Yue You 906,Chem Parcel Tanker,8862,13764,2018,133,In Service,GNG Ocean Shipping,Guangdong Navi Group,GNG Ocean Shipping,Hong Kong,,IFO 380,Diesel 2-Stroke,,,1845,3320,,,13,,,0,,N,6S35ME-B9.5,S35,Diesel 2-Stroke,"Chemical Tankers 10,000+ dwt",,MAN B. & W.,13,8.5,21.5,MAN Energy Solutions,China P.R.,China P.R.,BFHX1501,Chemical Tankers,
