Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Gazpromneft Murmansk,Chemical Bulk Tanker,5698,8245,1998,115.1,In Service,Gazpromneft Shpg,Gazpromneft Shpg,Gazpromneft Shpg,Russia,,IFO 380,Diesel 4-Stroke,,,,3678,Unspec,,,,Icebreaker,7,,Y,6L38,38,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,Wartsila 4-stroke,14,7.5,18.25,Wartsila,China P.R.,Russia,1254,Chemical Tankers,14
Damia Desgagnes,Asphalt & Bitumen Carrier,11978,14745,2017,135,In Service,Groupe Desgagnes,Groupe Desgagnes,Groupe Desgagnes,Canada,,"IFO 380, LNG",Diesel 2-Stroke,,,2960,5450,LNG,,,,Icebreaker,7,,Y,5RT-flex50DF,flex50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,WinGD,13,7.9,23.5,CSSC,Turkey,Canada,60,Product Tankers,13.9
Mia Desgagnes,Chem Parcel Tanker,12061,14986,2017,135,In Service,Groupe Desgagnes,Groupe Desgagnes,Groupe Desgagnes,Canada,,"IFO 380, LNG",Diesel 2-Stroke,,,2960,5450,LNG,,,,Icebreaker,7,,Y,5RT-flex50DF,flex50,Diesel 2-Stroke,"Chemical Tankers 10,000+ dwt",,WinGD,13,7.9,23.5,CSSC,Turkey,Canada,61,Chemical Tankers,13.9
Rossi A. Desgagnes,Chem Parcel Tanker,12061,14919,2019,135,In Service,Groupe Desgagnes,Groupe Desgagnes,Groupe Desgagnes,Canada,,"IFO 380, LNG",Diesel 2-Stroke,,,4224,5450,LNG,,,,Icebreaker,7,,Y,5RT-flex50DF,flex50,Diesel 2-Stroke,"Chemical Tankers 10,000+ dwt",,WinGD,13,7.9,23.5,CSSC,Turkey,Canada,63,Chemical Tankers,13.9
Enisey,Product Carrier,16110,18902,2011,169.04,In Service,Norilsk Nickel MMC,Norilsk Nickel MMC,Norilsk Nickel MMC,Russia,,,Diesel Electric,,,1110,19799,,,,,Icebreaker,7,100,Y,12V32,32,Diesel Electric,"Handy Products Tankers 10-54,999 dwt",,Wartsila 4-stroke,15.3,10,26.45,Wartsila,Germany,Russia,AT19,Product Tankers,
Odin,Chemical Bulk Tanker,5685,8269,1998,115.1,In Service,Kontur-Spb,Kontur-Spb,Kontur-Spb,Russia,,IFO 180,Diesel 4-Stroke,,,,3883,Unspec,,,,Icebreaker,7,20,Y,6R38,VASA 38,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,Wartsila 4-stroke,13.5,7.2,18.25,Wartsila,China P.R.,Russia,1253,Chemical Tankers,12
Normanna,Chem Parcel Tanker,6877,10022,1996,126.7,In Service,Mediterranea di Nav,Mediterranea di Nav,Mediterranea di Nav,Italy,,IFO 380,Diesel 4-Stroke,,,,5399,Unspec,,,,IC,3,,Y,8M552C,M552,Diesel 4-Stroke,"Chemical Tankers 10,000+ dwt",,MaK,14,7.9,19,Caterpillar,Italy,Italy,154,Chemical Tankers,21
Aigran D.,Chem Parcel Tanker,6742,10020,1997,126.73,In Service,Ar.Co.In. S.R.L.,Ar.Co.In. S.R.L.,Ar.Co.In. S.R.L.,Netherlands,,IFO 380,Diesel 4-Stroke,,,,3861,Unspec,,,,IC,3,,Y,8L38,38,Diesel 4-Stroke,"Chemical Tankers 10,000+ dwt",,Wartsila 4-stroke,13,7.83,19,Wartsila,Italy,Italy,161,Chemical Tankers,21
Venezia D.,Chem Parcel Tanker,6742,10127,1998,126.72,In Service,Ar.Co.In. S.R.L.,Ar.Co.In. S.R.L.,De Poli Tankers,Netherlands,,IFO 380,Diesel 4-Stroke,,,,5279,Unspec,,,,IC,3,,Y,8L38,38,Diesel 4-Stroke,"Chemical Tankers 10,000+ dwt",,Wartsila 4-stroke,13,7.9,19,Wartsila,Italy,Italy,162,Chemical Tankers,21
Nox,Chemical Bulk Tanker,5050,9431,1993,122.81,In Service,World Carrier Corp,World Carrier Corp,World Carrier Corp,Panama,,MDO,Diesel 4-Stroke,,,,2898,IFO 180,,,,IC,3,,Y,8M453C,M453,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,12.5,6.78,16.7,Caterpillar,Netherlands,Greece,393,Chemical Tankers,12.5
