Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Toronto Express,Fully Cellular Container,55994,47828,2003,294,In Service,Hapag-Lloyd Cont,Hapag-Lloyd,Hapag-Lloyd Cont,Bermuda,,IFO 380,Diesel 2-Stroke,,4402,7602,36560,,,,,IC,3,,Y,8K90MC-C6.1,K90,Diesel 2-Stroke,"Intermediate 3-7,999 TEU",,MAN B. & W.,23,10.78,32.26,MAN Energy Solutions,South Korea,Germany,4089,Containerships,137
OOCL Montreal,Fully Cellular Container,55994,47828,2003,294,In Service,OOCL,China COSCO Shipping,OOCL,Hong Kong,,IFO 380,Diesel 2-Stroke,,4402,7602,36560,,,,,IC,3,,Y,8K90MC-C6.1,K90,Diesel 2-Stroke,"Intermediate 3-7,999 TEU",,MAN B. & W.,23,10.78,32.26,MAN Energy Solutions,South Korea,China P.R.,4090,Containerships,134
Montreal Express,Fully Cellular Container,55994,47828,2003,294,In Service,Hapag-Lloyd Cont,Hapag-Lloyd,Hapag-Lloyd Cont,Bermuda,,IFO 380,Diesel 2-Stroke,,4402,7602,36560,,,,,IC,3,,Y,8K90MC-C6.1,K90,Diesel 2-Stroke,"Intermediate 3-7,999 TEU",,MAN B. & W.,23,10.78,32.2,MAN Energy Solutions,South Korea,Germany,4091,Containerships,137
Pacoba,Fully Cellular Container,10308,12545,2001,149,In Service,Harren & Partner,Harren & Partner,,Madeira,,IFO 380,Diesel 2-Stroke,,1150,1980,11046,,,,,IC,3,,Y,7S50MC-C Mk5,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Germany,120,Containerships,43.5
Pacul,Fully Cellular Container,10308,12123,2002,149,In Service,Harren & Partner,Harren & Partner,United Feeder Serv,Madeira,,IFO 380,Diesel 2-Stroke,,1200,1980,11060,,,,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Germany,121,Containerships,43.5
Asiatic Orchid,Fully Cellular Container,10308,12123,2002,149,In Service,Asiatic Lloyd,Asiatic Lloyd,Unimed Feeder UFS,Singapore,,IFO 380,Diesel 2-Stroke,,1200,,11060,,,18.8,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Germany,122,Containerships,43.5
Mito Strait,Fully Cellular Container,9910,13760,2006,148,In Service,Carsten Rehder,Carsten Rehder,Unifeeder,Antigua & B.,,IFO 380,Diesel 4-Stroke,,1118,2190,9729,,,,,IC,3,,Y,7L58/64,58/64,Diesel 4-Stroke,"Feeder 1-1,999 TEU",,MAN Energy Solutions,19.5,8.5,23.25,MAN Energy Solutions,Romania,Germany,315,Containerships,39.3
MSF Lady Haloum,Fully Cellular Container,10546,12200,1993,149,In Service,Kappa International,Kappa International,Bahari Shipping Ltd,Panama,,IFO 380,Diesel 4-Stroke,,1139,2040,10000,Unspec,,,,IC,3,,Y,8M601C,M601,Diesel 4-Stroke,"Feeder 1-1,999 TEU",,MaK,18,7.7,23,Caterpillar,Denmark,Greece,155,Containerships,40
Inga A,Fully Cellular Container,10546,12184,1993,149,In Service,Arkas Shipping,Arkas Shipping,Arkas Line,Turkey,,IFO 380,Diesel 4-Stroke,,1139,2040,10000,Unspec,,,,IC,3,,Y,8M601C,M601,Diesel 4-Stroke,"Feeder 1-1,999 TEU",,MaK,18.1,8.55,23,Caterpillar,Denmark,Turkey,176,Containerships,38
Leyla Kalkavan,Fully Cellular Container,12123,12060,1997,149,In Service,Kasif Kalkavan Group,Kasif Kalkavan Group,Unimed Feeder UFS,Turkey,,IFO 380,Diesel 2-Stroke,,1131,,11474,,,,,IC,3,,Y,6L60MC Mk1,L60,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Turkey,109,Containerships,45
