Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Golden Ice,Bulk Carrier,42785,75750,2008,224.9,In Service,Golden Ocean Group,Fredriksen Group,Golden Ocean Group,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,2220,11300,,,,,IC,3,35,Y,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.15,32.25,MAN Energy Solutions,China P.R.,Norway,1021,Bulkers,41.5
Goya,Bulk Carrier,42785,75750,2008,224.9,In Service,Mowinckels Rederi,Mowinckels Rederi,Mowinckels Rederi,Norwegian Int'l,,IFO 380,Diesel 2-Stroke,,,2220,11300,,,,,IC,3,34.5,Y,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.3,14.15,32.25,MAN Energy Solutions,China P.R.,Norway,1010,Bulkers,
Patricia V,Bulk Carrier,42785,75354,2010,224.9,In Service,Golden Union,Golden Union,Golden Union,Liberia,,IFO 380,Diesel 2-Stroke,,,2220,11300,,,,,IB,4,36,Y,5S60MC-C7.2,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,,14.15,32.25,MAN Energy Solutions,China P.R.,Greece,H1050,Bulkers,
He Ming,Bulk Carrier,41974,73541,2012,224.8,In Service,Qingdao Marine,Zhenghe Shpg Group,Qingdao Marine,China P.R.,,IFO 380,Diesel 2-Stroke,,,,8705,,,,,Category II,1,,Y,6S50MC-C8.2,S50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,13.5,10.5,34,MAN Energy Solutions,China P.R.,China P.R.,KH001,Bulkers,
Crystalia,Bulk Carrier,41882,77525,2014,224.93,In Service,Diana Shipping,Diana Shipping,SwissMarine Services,Greece,,IFO 380,Diesel 2-Stroke,,,3220,11900,,,,,IB,4,29,Y,5S60ME-C8.2,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.35,32.26,MAN Energy Solutions,China P.R.,Greece,H2528,Bulkers,
Atalandi,Bulk Carrier,41882,76500,2014,224.96,In Service,Diana Shipping,Diana Shipping,Glencore Grain,Greece,,IFO 380,Diesel 2-Stroke,,,2415,11900,,,,,IB,4,29,Y,5S60ME-C8.2,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.35,32.26,MAN Energy Solutions,China P.R.,Greece,H2529,Bulkers,
Golden Diamond,Bulk Carrier,41718,74138,2013,224.9,In Service,Golden Ocean Group,Fredriksen Group,Golden Ocean Group,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,2280,11900,,,,,IC,3,47,Y,5S60MC-C8.2,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.1,32.25,MAN Energy Solutions,India,Norway,16,Bulkers,
Golden Pearl,Bulk Carrier,41718,74300,2013,224.9,In Service,Golden Ocean Group,Fredriksen Group,Golden Ocean Group,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,2280,11900,,,,,IC,3,47,Y,5S60MC-C8.2,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.1,32.25,MAN Energy Solutions,India,Norway,15,Bulkers,
Golden Ruby,Bulk Carrier,41718,74052,2014,224.9,In Service,Golden Ocean Group,Fredriksen Group,Golden Ocean Group,Hong Kong,,IFO 380,Diesel 2-Stroke,,,2280,11300,,,,,IC,3,47,Y,5S60MC-C8.2,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,15.2,14.1,32.25,MAN Energy Solutions,India,Norway,17,Bulkers,
Elena Ve,Bulk Carrier,41697,75329,2010,224.9,In Service,Golden Union,Golden Union,Golden Union,Liberia,,IFO 380,Diesel 2-Stroke,,,2220,11300,,,,,IB,4,36,Y,5S60MC-C7.2,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.15,32.25,MAN Energy Solutions,China P.R.,Greece,H1051,Bulkers,36.5
